time,lat,lon,elevation,accuracy,bearing,speed
2013-06-09T07:08:31Z,33.642858,-117.841619,33.500000,18.000000,0.000000,0.000000
2013-06-09T07:22:59Z,33.642960,-117.841616,23.900000,9.000000,1.300000,0.707107
2013-06-09T07:24:56Z,33.642893,-117.841693,7.200000,8.000000,0.000000,0.000000
2013-06-09T08:05:45Z,33.642765,-117.841733,11.100000,14.000000,0.000000,0.000000
2013-06-09T08:36:27Z,33.642902,-117.841726,28.100000,15.000000,175.899994,3.535534
2013-06-09T08:45:50Z,33.642808,-117.841677,-8.800000,5.000000,0.000000,0.000000
2013-06-09T08:53:59Z,33.642744,-117.841910,21.400000,9.000000,178.899994,6.731456
2013-06-09T08:54:14Z,33.642431,-117.841297,-8.700000,6.000000,80.400002,10.111875
2013-06-09T08:54:28Z,33.642758,-117.839571,-11.100000,7.000000,86.599998,12.539936
2013-06-09T08:54:56Z,33.642635,-117.836454,-3.800000,7.000000,89.300003,5.750000
2013-06-09T08:55:29Z,33.640712,-117.833889,-1.000000,18.000000,93.400002,5.500000
2013-06-09T08:55:43Z,33.641337,-117.833334,17.000000,12.000000,26.500000,6.500000
2013-06-09T08:55:56Z,33.641805,-117.833236,15.700000,9.000000,336.700012,3.750000
2013-06-09T08:56:09Z,33.642038,-117.833860,15.600000,13.000000,261.299988,3.500000
2013-06-09T08:56:27Z,33.641806,-117.833670,14.600000,8.000000,139.399994,1.802776
2013-06-09T08:56:46Z,33.641717,-117.833689,15.000000,16.000000,0.000000,0.000000
2013-06-09T08:58:14Z,33.641680,-117.833579,4.400000,24.000000,0.000000,0.000000
2013-06-09T09:04:57Z,33.641605,-117.833489,1.100000,19.000000,0.000000,0.000000
2013-06-09T12:02:26Z,33.641741,-117.833505,19.600000,36.000000,256.000000,0.500000
2013-06-09T12:02:42Z,33.641665,-117.833436,24.900000,35.000000,151.899994,1.000000
2013-06-09T12:02:59Z,33.641432,-117.833415,19.299999,29.000000,217.800003,1.250000
2013-06-09T12:03:31Z,33.641436,-117.833248,25.200001,30.000000,172.300003,0.250000
2013-06-09T12:04:03Z,33.641297,-117.833332,29.000000,31.000000,168.699997,1.000000
2013-06-09T12:04:35Z,33.641358,-117.833530,32.099998,29.000000,273.000000,1.000000
2013-06-09T12:05:07Z,33.641491,-117.833540,34.099998,22.000000,356.700012,0.750000
2013-06-09T12:05:22Z,33.641633,-117.833523,30.400000,22.000000,311.600006,0.750000
2013-06-09T12:05:53Z,33.641562,-117.833371,36.599998,18.000000,311.600006,0.250000
2013-06-09T12:06:24Z,33.641680,-117.833398,36.500000,24.000000,311.600006,0.750000
2013-06-09T12:06:39Z,33.641527,-117.833433,35.099998,26.000000,206.199997,1.000000
2013-06-09T12:06:54Z,33.641695,-117.833379,40.400002,19.000000,206.199997,0.500000
2013-06-09T12:07:26Z,33.641657,-117.833484,27.500000,43.000000,226.699997,1.250000
2013-06-09T12:07:56Z,33.641448,-117.833652,24.700001,55.000000,303.299988,1.000000
2013-06-09T12:08:12Z,33.641616,-117.833515,27.200001,29.000000,206.300003,0.500000
2013-06-09T12:08:30Z,33.641518,-117.833545,24.400000,46.000000,178.199997,1.000000
2013-06-09T12:08:47Z,33.641604,-117.833368,28.700001,30.000000,120.000000,1.250000
2013-06-09T12:09:18Z,33.641487,-117.833465,27.000000,30.000000,235.600006,1.000000
2013-06-09T12:09:35Z,33.641543,-117.833603,30.700001,36.000000,253.600006,0.750000
2013-06-09T12:10:23Z,33.641387,-117.833592,23.900000,32.000000,184.000000,1.250000
2013-06-09T12:11:05Z,33.641426,-117.833753,25.700001,47.000000,169.399994,1.000000
2013-06-09T12:11:30Z,33.641274,-117.833547,24.000000,41.000000,172.000000,1.750000
2013-06-09T12:11:49Z,33.641331,-117.833338,28.400000,40.000000,171.399994,1.500000
2013-06-09T12:12:06Z,33.641223,-117.833292,16.500000,32.000000,211.399994,1.000000
2013-06-09T12:12:22Z,33.641668,-117.833258,48.700001,40.000000,334.100006,0.750000
2013-06-09T12:12:48Z,33.641510,-117.833160,50.099998,59.000000,155.300003,1.750000
2013-06-09T12:13:05Z,33.641640,-117.833330,45.900002,29.000000,221.800003,1.000000
2013-06-09T12:13:21Z,33.641581,-117.833458,35.599998,28.000000,243.300003,0.750000
2013-06-09T12:15:20Z,33.641325,-117.833587,27.299999,103.000000,187.199997,0.500000
2013-06-09T12:15:37Z,33.641431,-117.833523,35.099998,25.000000,187.199997,0.500000
2013-06-09T12:15:52Z,33.641488,-117.833417,32.099998,23.000000,269.700012,0.750000
2013-06-09T12:16:09Z,33.641557,-117.833525,30.799999,22.000000,288.799988,1.500000
2013-06-09T12:16:25Z,33.641621,-117.833635,28.700001,25.000000,245.899994,0.500000
2013-06-09T12:17:14Z,33.641670,-117.833477,42.400002,24.000000,241.100006,0.500000
2013-06-09T12:18:02Z,33.641471,-117.833503,11.000000,23.000000,211.699997,1.000000
2013-06-09T12:18:18Z,33.641791,-117.833557,24.500000,30.000000,8.900000,1.250000
2013-06-09T12:18:35Z,33.642018,-117.833382,31.400000,34.000000,41.400002,1.500000
2013-06-09T12:18:52Z,33.641462,-117.833497,26.400000,30.000000,208.800003,1.250000
2013-06-09T12:19:34Z,33.641326,-117.833524,33.599998,73.000000,0.000000,0.000000
2013-06-09T12:19:49Z,33.641460,-117.833441,38.299999,26.000000,0.000000,0.000000
2013-06-09T12:20:04Z,33.641531,-117.833364,40.400002,22.000000,0.000000,0.000000
2013-06-09T12:21:31Z,33.641626,-117.833395,41.099998,35.000000,0.000000,0.000000
2013-06-09T12:28:36Z,33.641418,-117.833486,43.500000,26.000000,226.399994,1.250000
2013-06-09T12:28:53Z,33.641315,-117.833597,34.500000,27.000000,225.699997,0.500000
2013-06-09T12:29:08Z,33.641404,-117.833485,35.599998,23.000000,225.699997,0.250000
2013-06-09T12:29:38Z,33.641482,-117.833429,40.299999,19.000000,225.699997,0.500000
2013-06-09T12:30:44Z,33.641555,-117.833513,20.200001,22.000000,225.699997,0.500000
2013-06-09T12:31:30Z,33.641385,-117.833543,20.299999,23.000000,207.399994,1.250000
2013-06-09T12:32:01Z,33.641478,-117.833545,18.299999,18.000000,265.299988,0.500000
2013-06-09T12:32:17Z,33.641545,-117.833624,20.299999,30.000000,300.600006,1.000000
2013-06-09T12:32:51Z,33.641442,-117.833424,20.100000,36.000000,151.300003,0.500000
2013-06-09T12:33:08Z,33.641554,-117.833481,19.200001,37.000000,151.300003,0.500000
2013-06-09T12:33:45Z,33.641440,-117.833493,23.900000,47.000000,188.399994,0.750000
2013-06-09T12:34:02Z,33.641609,-117.833425,30.100000,31.000000,178.699997,1.000000
2013-06-09T12:36:29Z,33.641751,-117.833336,28.900000,43.000000,0.000000,0.000000
2013-06-09T12:41:13Z,33.641650,-117.833385,17.000000,35.000000,0.000000,0.000000
2013-06-09T13:07:06Z,33.641695,-117.833514,19.700001,44.000000,162.100006,1.250000
2013-06-09T13:08:18Z,33.641465,-117.833297,22.500000,17.000000,117.300003,0.500000
2013-06-09T13:09:00Z,33.641738,-117.833278,15.700000,16.000000,173.500000,0.250000
2013-06-09T13:09:19Z,33.641645,-117.833349,2.400000,22.000000,294.399994,1.000000
2013-06-09T13:09:38Z,33.641531,-117.833345,17.799999,12.000000,197.300003,2.250000
2013-06-09T13:09:58Z,33.641664,-117.833418,19.299999,30.000000,0.000000,0.000000
2013-06-09T13:12:23Z,33.641525,-117.833384,19.100000,22.000000,245.000000,1.250000
2013-06-09T13:12:50Z,33.641561,-117.833540,18.299999,24.000000,338.600006,1.000000
2013-06-09T13:13:36Z,33.641661,-117.833420,19.600000,33.000000,0.000000,0.000000
2013-06-09T13:18:00Z,33.641784,-117.833273,79.699997,14.000000,121.699997,2.136001
2013-06-09T13:18:16Z,33.641615,-117.833392,23.900000,12.000000,170.399994,4.190763
2013-06-09T14:31:37Z,33.641683,-117.833528,16.700001,17.000000,182.000000,1.000000
2013-06-09T14:31:55Z,33.641586,-117.833414,26.799999,25.000000,0.000000,0.000000
2013-06-09T14:44:47Z,33.641648,-117.833528,26.900000,19.000000,251.100006,0.750000
2013-06-09T14:45:46Z,33.641586,-117.833413,24.400000,31.000000,0.000000,0.000000
2013-06-09T17:23:26Z,33.641201,-117.833940,22.400000,23.000000,234.199997,2.500000
2013-06-09T17:23:59Z,33.641270,-117.833683,28.600000,30.000000,234.699997,0.500000
2013-06-09T17:24:37Z,33.641695,-117.833448,30.000000,42.000000,59.299999,2.250000
2013-06-09T17:24:59Z,33.641795,-117.833209,31.400000,19.000000,48.900002,0.250000
2013-06-09T17:25:55Z,33.641438,-117.833334,52.500000,40.000000,237.000000,3.605551
2013-06-09T17:26:17Z,33.641818,-117.833217,17.299999,29.000000,60.599998,0.250000
2013-06-09T17:26:35Z,33.641463,-117.833587,-20.600000,35.000000,168.300003,0.750000
2013-06-09T17:29:17Z,33.641562,-117.833324,53.900002,13.000000,72.300003,2.015564
2013-06-09T17:29:38Z,33.641728,-117.833629,23.200001,30.000000,168.399994,0.901388
2013-06-09T17:29:59Z,33.641730,-117.833112,14.700000,9.000000,201.600006,0.500000
2013-06-09T17:30:15Z,33.641731,-117.833391,-14.300000,29.000000,202.800003,1.000000
2013-06-09T17:30:40Z,33.641535,-117.833560,-11.300000,29.000000,210.899994,0.250000
2013-06-09T17:31:50Z,33.641402,-117.833576,3.100000,45.000000,0.000000,0.000000
2013-06-09T17:34:15Z,33.641501,-117.833434,24.200001,33.000000,0.000000,0.000000
2013-06-09T18:34:45Z,33.641499,-117.833620,6.700000,15.000000,20.700001,2.250000
2013-06-09T18:35:04Z,33.641632,-117.833647,18.900000,12.000000,226.600006,1.250000
2013-06-09T18:35:20Z,33.641606,-117.833522,11.000000,8.000000,297.899994,1.000000
2013-06-09T18:35:35Z,33.641713,-117.833500,18.500000,17.000000,221.399994,0.250000
2013-06-09T18:36:25Z,33.641579,-117.833581,-18.400000,17.000000,109.000000,1.500000
2013-06-09T18:36:47Z,33.641567,-117.833434,24.799999,39.000000,0.000000,0.000000
2013-06-09T18:37:15Z,33.641537,-117.833979,23.700001,9.000000,300.299988,5.500000
2013-06-09T18:37:29Z,33.642103,-117.833828,21.799999,12.000000,71.199997,3.250000
2013-06-09T18:37:42Z,33.642164,-117.833370,18.500000,14.000000,25.299999,4.500000
2013-06-09T18:37:55Z,33.642680,-117.833237,20.299999,18.000000,6.200000,5.250000
2013-06-09T18:38:08Z,33.643036,-117.833966,31.100000,14.000000,274.799988,7.000000
2013-06-09T18:38:21Z,33.643279,-117.835061,17.799999,23.000000,293.299988,5.500000
2013-06-09T18:38:35Z,33.644022,-117.835477,18.200001,25.000000,13.700000,12.500000
2013-06-09T18:38:49Z,33.646171,-117.835096,13.300000,17.000000,2.800000,18.000000
2013-06-09T18:39:02Z,33.647480,-117.835243,-4.500000,12.000000,357.899994,5.250000
2013-06-09T18:39:15Z,33.647951,-117.835312,-7.700000,11.000000,330.799988,6.500000
2013-06-09T18:39:28Z,33.648080,-117.836768,-7.600000,9.000000,280.600006,13.250000
2013-06-09T18:39:42Z,33.648686,-117.837609,-11.900000,10.000000,25.500000,10.500000
2013-06-09T18:39:56Z,33.649558,-117.837076,-12.300000,9.000000,20.900000,7.750000
2013-06-09T18:40:16Z,33.651385,-117.837226,-16.299999,9.000000,321.299988,1.500000
2013-06-09T18:40:30Z,33.651810,-117.838261,-4.800000,7.000000,281.000000,12.000000
2013-06-09T18:40:44Z,33.652055,-117.839818,-8.300000,18.000000,306.200012,5.750000
2013-06-09T18:40:58Z,33.652615,-117.840808,-13.600000,15.000000,314.600006,10.750000
2013-06-09T18:41:13Z,33.652684,-117.841519,-7.100000,8.000000,198.100006,5.250000
2013-06-09T18:41:26Z,33.652019,-117.841298,-16.600000,13.000000,207.100006,4.250000
2013-06-09T18:41:56Z,33.652033,-117.841489,-21.500000,9.000000,0.000000,0.000000
2013-06-09T18:43:13Z,33.652047,-117.841297,-20.400000,24.000000,59.700001,7.250000
2013-06-09T18:43:27Z,33.652133,-117.840982,-8.800000,10.000000,343.500000,2.500000
2013-06-09T18:43:41Z,33.652577,-117.841370,1.100000,11.000000,321.100006,5.500000
2013-06-09T18:43:55Z,33.652952,-117.840746,17.299999,15.000000,65.199997,2.000000
2013-06-09T18:44:09Z,33.652285,-117.840153,-6.900000,14.000000,128.300003,6.250000
2013-06-09T18:44:23Z,33.652727,-117.839425,1.200000,10.000000,29.799999,13.000000
2013-06-09T18:44:36Z,33.653247,-117.838518,-5.200000,10.000000,102.699997,6.250000
2013-06-09T18:44:51Z,33.652041,-117.837315,-7.700000,10.000000,131.500000,9.750000
2013-06-09T18:45:05Z,33.651980,-117.837168,-7.000000,11.000000,277.799988,1.250000
2013-06-09T18:45:19Z,33.651869,-117.837062,-7.100000,14.000000,0.000000,0.000000
2013-06-09T18:45:33Z,33.651689,-117.836605,-3.900000,14.000000,120.400002,13.250000
2013-06-09T18:45:47Z,33.651072,-117.834031,-22.200001,13.000000,95.099998,18.250000
2013-06-09T18:46:00Z,33.651264,-117.831839,-8.500000,18.000000,66.900002,14.250000
2013-06-09T18:46:14Z,33.651004,-117.830847,-3.800000,16.000000,145.100006,10.750000
2013-06-09T18:46:29Z,33.650023,-117.830864,-12.600000,8.000000,190.600006,6.250000
2013-06-09T18:46:53Z,33.649926,-117.830997,-12.100000,7.000000,81.800003,0.500000
2013-06-09T18:47:10Z,33.650208,-117.830947,-25.900000,24.000000,81.800003,0.250000
2013-06-09T18:47:28Z,33.649816,-117.830840,-3.100000,8.000000,198.500000,1.000000
2013-06-09T18:47:40Z,33.649785,-117.831107,-3.600000,7.000000,292.899994,1.000000
2013-06-09T18:47:54Z,33.649845,-117.831245,-2.600000,11.000000,0.000000,0.000000
2013-06-09T18:48:51Z,33.650014,-117.831453,-5.000000,7.000000,4.500000,1.750000
2013-06-09T18:49:07Z,33.649885,-117.831290,-1.900000,15.000000,0.000000,0.000000
2013-06-09T19:01:19Z,33.649873,-117.830995,18.299999,16.000000,0.000000,0.000000
2013-06-09T19:03:31Z,33.649880,-117.831347,0.600000,9.000000,283.700012,4.500000
2013-06-09T19:03:45Z,33.649443,-117.831877,-2.500000,18.000000,198.600006,7.500000
2013-06-09T19:04:19Z,33.648401,-117.832521,-7.600000,9.000000,248.199997,8.750000
2013-06-09T19:04:44Z,33.648403,-117.835461,-12.500000,14.000000,278.600006,8.250000
2013-06-09T19:05:14Z,33.649424,-117.835378,-21.799999,12.000000,28.400000,4.750000
2013-06-09T19:05:39Z,33.651124,-117.834558,-25.799999,11.000000,92.699997,11.000000
2013-06-09T19:05:53Z,33.651304,-117.832309,-23.100000,9.000000,68.300003,16.750000
2013-06-09T19:06:08Z,33.651781,-117.830845,-14.900000,12.000000,55.400002,11.750000
