time,lat,lon,elevation,accuracy,bearing,speed
2013-06-07T07:01:42Z,33.642717,-117.842124,15.700000,9.000000,233.500000,0.750000
2013-06-07T07:01:55Z,33.642574,-117.842390,21.000000,12.000000,257.100006,1.000000
2013-06-07T07:02:31Z,33.642425,-117.842728,4.500000,9.000000,0.000000,0.000000
2013-06-07T07:04:15Z,33.642464,-117.841397,10.800000,12.000000,76.000000,9.750000
2013-06-07T07:04:28Z,33.642664,-117.839733,9.700000,19.000000,85.300003,13.750000
2013-06-07T07:04:45Z,33.642446,-117.837468,27.900000,15.000000,101.500000,10.359175
2013-06-07T07:05:03Z,33.642304,-117.836079,15.300000,7.000000,141.100006,10.198039
2013-06-07T07:05:23Z,33.640774,-117.834294,16.100000,6.000000,124.099998,13.086252
2013-06-07T07:05:55Z,33.639333,-117.830509,18.500000,11.000000,105.199997,5.344389
2013-06-07T07:06:15Z,33.640616,-117.829838,30.600000,5.000000,7.300000,12.500000
2013-06-07T07:06:57Z,33.644349,-117.828252,4.700000,8.000000,65.400002,5.250000
2013-06-07T07:28:12Z,33.644621,-117.828323,1.000000,43.000000,0.000000,0.000000
2013-06-07T07:28:25Z,33.644461,-117.828845,11.500000,19.000000,0.000000,0.000000
2013-06-07T07:28:38Z,33.644328,-117.829174,14.500000,10.000000,238.399994,6.000000
2013-06-07T07:28:51Z,33.643166,-117.829454,21.500000,16.000000,194.000000,13.000000
2013-06-07T07:29:05Z,33.641604,-117.829809,14.900000,28.000000,0.000000,0.000000
2013-06-07T07:29:17Z,33.641197,-117.830208,21.799999,7.000000,292.700012,4.500000
2013-06-07T07:29:31Z,33.641902,-117.830067,22.799999,21.000000,3.000000,6.500000
2013-06-07T07:29:44Z,33.642263,-117.830802,21.400000,10.000000,292.500000,5.750000
2013-06-07T07:29:55Z,33.642327,-117.831614,4.300000,8.000000,279.899994,4.854122
2013-06-07T07:30:09Z,33.642678,-117.832434,42.299999,20.000000,273.000000,4.366062
2013-06-07T07:30:26Z,33.642711,-117.833200,21.700001,11.000000,190.000000,4.609772
2013-06-07T07:30:42Z,33.642060,-117.833356,41.700001,7.000000,206.100006,4.527693
2013-06-07T07:30:56Z,33.642088,-117.833889,30.100000,7.000000,269.299988,2.750000
2013-06-07T07:31:10Z,33.641714,-117.833832,30.500000,19.000000,126.099998,4.250000
2013-06-07T07:31:25Z,33.641586,-117.833472,29.200001,17.000000,164.100006,0.250000
2013-06-07T07:32:33Z,33.641745,-117.833588,41.299999,15.000000,164.100006,0.250000
2013-06-07T07:33:55Z,33.641568,-117.833541,27.200001,14.000000,164.100006,0.250000
2013-06-07T07:36:48Z,33.641372,-117.833636,25.900000,14.000000,180.600006,0.750000
2013-06-07T07:37:31Z,33.641458,-117.833303,22.100000,32.000000,0.000000,0.000000
2013-06-07T07:37:45Z,33.641622,-117.833535,40.000000,19.000000,33.599998,0.250000
2013-06-07T07:50:35Z,33.641880,-117.833256,25.100000,51.000000,29.700001,1.250000
2013-06-07T07:52:11Z,33.641628,-117.833455,48.299999,166.000000,244.899994,0.500000
2013-06-07T07:53:02Z,33.641357,-117.833517,44.799999,49.000000,195.899994,1.250000
2013-06-07T07:53:58Z,33.641662,-117.833414,29.200001,49.000000,41.700001,0.750000
2013-06-07T07:55:07Z,33.641758,-117.833165,31.700001,41.000000,69.099998,1.000000
2013-06-07T07:55:45Z,33.641445,-117.832887,20.700001,43.000000,127.400002,3.250000
2013-06-07T07:56:43Z,33.641108,-117.833570,34.900002,44.000000,192.399994,2.250000
2013-06-07T07:57:03Z,33.641288,-117.833666,36.200001,44.000000,149.399994,1.000000
2013-06-07T07:58:50Z,33.641512,-117.833504,52.299999,43.000000,149.399994,0.250000
2013-06-07T07:59:31Z,33.641693,-117.833304,52.900002,44.000000,149.399994,0.250000
2013-06-07T08:00:06Z,33.641558,-117.833451,32.000000,39.000000,224.800003,0.250000
2013-06-07T08:01:11Z,33.641388,-117.834019,44.900002,43.000000,255.500000,2.000000
2013-06-07T08:01:28Z,33.641482,-117.833637,34.299999,29.000000,255.500000,0.500000
2013-06-07T08:02:37Z,33.641764,-117.833545,12.900000,19.000000,357.200012,0.500000
2013-06-07T08:03:41Z,33.641645,-117.833347,13.400000,24.000000,0.000000,0.000000
2013-06-07T08:22:57Z,33.641502,-117.833536,13.000000,128.000000,237.300003,1.500000
2013-06-07T08:30:39Z,33.641689,-117.833431,17.500000,38.000000,0.000000,0.000000
2013-06-07T08:32:58Z,33.641957,-117.833370,45.500000,31.000000,331.500000,1.750000
2013-06-07T08:35:06Z,33.641437,-117.833046,39.599998,44.000000,132.800003,2.500000
2013-06-07T08:38:31Z,33.641446,-117.833330,24.900000,41.000000,0.000000,0.000000
2013-06-07T08:39:25Z,33.642295,-117.833163,36.700001,87.000000,0.000000,0.000000
2013-06-07T08:41:00Z,33.640628,-117.834163,-35.400002,164.000000,0.000000,0.000000
2013-06-07T08:41:58Z,33.642620,-117.832436,-61.299999,55.000000,0.000000,0.000000
2013-06-07T08:42:30Z,33.642177,-117.831986,13.300000,53.000000,0.000000,0.000000
2013-06-07T08:42:58Z,33.641595,-117.833269,41.799999,29.000000,0.000000,0.000000
2013-06-07T09:49:27Z,33.642060,-117.833232,-6.200000,236.000000,0.000000,0.000000
2013-06-07T09:50:09Z,33.641644,-117.833467,33.200001,29.000000,162.600006,1.000000
2013-06-07T09:50:49Z,33.641324,-117.833289,18.000000,43.000000,175.000000,1.500000
2013-06-07T09:52:01Z,33.641851,-117.833520,27.700001,33.000000,354.100006,1.000000
2013-06-07T09:52:23Z,33.641659,-117.833463,19.500000,25.000000,354.100006,0.500000
2013-06-07T10:08:46Z,33.641440,-117.833569,5.600000,21.000000,198.899994,1.500000
2013-06-07T10:09:32Z,33.641607,-117.833378,27.600000,23.000000,0.000000,0.000000
2013-06-07T10:13:38Z,33.641948,-117.833523,31.200001,37.000000,349.899994,1.600781
2013-06-07T10:13:57Z,33.641689,-117.833562,27.299999,23.000000,156.699997,2.704164
2013-06-07T10:17:51Z,33.641410,-117.833714,194.300003,25.000000,167.300003,1.030776
2013-06-07T10:18:50Z,33.641548,-117.833507,30.299999,23.000000,183.399994,3.473111
2013-06-07T10:19:38Z,33.641730,-117.833604,41.099998,18.000000,176.899994,3.051639
2013-06-07T10:20:13Z,33.641582,-117.833429,28.799999,46.000000,0.000000,0.000000
2013-06-07T11:11:26Z,33.641730,-117.833260,40.099998,98.000000,53.200001,1.250000
2013-06-07T11:15:58Z,33.641652,-117.833599,60.400002,223.000000,0.000000,0.000000
2013-06-07T11:18:35Z,33.641259,-117.833751,41.000000,176.000000,0.000000,0.000000
2013-06-07T11:19:41Z,33.641470,-117.833546,40.200001,99.000000,0.000000,0.000000
2013-06-07T11:24:22Z,33.640686,-117.835776,25.400000,241.000000,0.000000,0.000000
2013-06-07T11:27:47Z,33.641592,-117.833586,22.600000,23.000000,43.000000,0.250000
2013-06-07T11:29:56Z,33.641794,-117.833526,18.799999,48.000000,0.000000,0.000000
2013-06-07T11:43:55Z,33.641612,-117.833582,7.800000,50.000000,0.000000,0.000000
2013-06-07T11:50:28Z,33.642101,-117.833617,10.400000,55.000000,197.000000,1.250000
2013-06-07T11:51:08Z,33.641593,-117.833554,10.200000,49.000000,0.000000,0.000000
2013-06-07T12:42:36Z,33.641846,-117.833356,15.900000,49.000000,0.000000,0.000000
2013-06-07T12:44:39Z,33.641650,-117.833435,32.400002,49.000000,0.000000,0.000000
2013-06-07T13:29:02Z,33.641832,-117.833258,24.200001,180.000000,31.100000,0.500000
2013-06-07T13:29:43Z,33.641874,-117.833599,25.500000,27.000000,172.800003,1.250000
2013-06-07T13:30:10Z,33.641660,-117.833363,26.400000,22.000000,349.899994,0.500000
2013-06-07T15:32:47Z,33.642000,-117.833237,41.400002,6.000000,147.800003,0.500000
2013-06-07T15:33:15Z,33.641591,-117.833456,18.799999,7.000000,0.000000,0.000000
2013-06-07T15:33:43Z,33.641813,-117.833235,12.800000,12.000000,0.000000,0.000000
2013-06-07T15:45:29Z,33.641955,-117.833098,26.600000,21.000000,32.099998,1.000000
2013-06-07T16:07:17Z,33.641994,-117.833422,27.100000,8.000000,217.300003,2.000000
2013-06-07T16:07:30Z,33.641671,-117.833462,65.400002,10.000000,241.600006,1.500000
2013-06-07T16:08:58Z,33.641326,-117.833681,1.300000,29.000000,240.000000,0.250000
2013-06-07T16:09:29Z,33.641571,-117.833318,46.500000,36.000000,205.100006,0.750000
2013-06-07T16:10:42Z,33.641394,-117.833243,23.700001,34.000000,155.899994,0.750000
2013-06-07T16:11:15Z,33.641382,-117.833575,26.700001,21.000000,155.899994,0.250000
2013-06-07T16:11:42Z,33.641673,-117.833537,25.200001,42.000000,23.100000,1.500000
2013-06-07T16:14:17Z,33.641461,-117.833585,7.700000,25.000000,0.000000,0.000000
2013-06-07T16:20:59Z,33.641637,-117.833517,15.500000,11.000000,26.000000,2.000000
2013-06-07T16:21:12Z,33.641889,-117.833347,21.000000,13.000000,106.699997,2.500000
2013-06-07T16:21:27Z,33.641544,-117.833200,22.500000,9.000000,185.000000,2.250000
2013-06-07T16:21:39Z,33.641094,-117.833507,1.500000,13.000000,210.100006,3.750000
2013-06-07T16:21:52Z,33.640692,-117.833837,1.500000,15.000000,209.600006,3.750000
2013-06-07T16:22:10Z,33.640841,-117.834371,19.400000,15.000000,305.799988,5.500000
2013-06-07T16:22:22Z,33.641389,-117.834966,20.400000,10.000000,310.100006,6.500000
2013-06-07T16:22:35Z,33.641930,-117.835589,19.500000,11.000000,314.500000,6.250000
2013-06-07T16:22:49Z,33.642532,-117.836064,22.200001,7.000000,328.000000,6.500000
2013-06-07T16:23:03Z,33.642740,-117.836360,15.000000,6.000000,0.000000,0.000000
2013-06-07T16:23:19Z,33.642677,-117.836098,15.500000,6.000000,328.000000,0.750000
2013-06-07T16:23:32Z,33.642764,-117.836495,18.700001,14.000000,308.799988,0.750000
2013-06-07T16:23:46Z,33.642498,-117.836546,6.500000,11.000000,234.300003,2.750000
2013-06-07T16:24:04Z,33.642377,-117.837172,12.900000,15.000000,272.399994,4.750000
2013-06-07T16:24:20Z,33.642458,-117.837997,3.400000,7.000000,278.899994,4.750000
2013-06-07T16:24:38Z,33.642642,-117.838908,3.300000,7.000000,281.700012,3.500000
2013-06-07T16:24:57Z,33.642668,-117.839793,5.900000,7.000000,264.299988,3.250000
2013-06-07T16:25:15Z,33.643072,-117.840175,14.600000,20.000000,268.600006,2.000000
2013-06-07T16:25:31Z,33.643274,-117.840835,12.900000,26.000000,278.200012,2.750000
2013-06-07T16:25:47Z,33.643518,-117.840789,6.900000,28.000000,0.000000,0.000000
2013-06-07T16:26:12Z,33.643307,-117.841217,10.700000,5.000000,248.399994,1.250000
2013-06-07T16:26:38Z,33.643353,-117.841466,7.700000,19.000000,41.200001,0.500000
2013-06-07T19:30:40Z,33.643484,-117.841634,37.099998,17.000000,0.000000,0.000000
2013-06-07T19:31:22Z,33.643567,-117.842362,20.100000,24.000000,313.799988,1.000000
2013-06-07T19:31:46Z,33.643331,-117.842463,14.100000,20.000000,197.699997,1.250000
2013-06-07T19:32:15Z,33.643246,-117.842423,23.400000,21.000000,131.500000,0.500000
2013-06-07T19:32:41Z,33.643134,-117.842345,13.900000,17.000000,0.000000,0.000000
2013-06-07T19:33:41Z,33.643238,-117.842366,17.700001,15.000000,0.000000,0.000000
2013-06-07T19:35:26Z,33.643320,-117.842308,10.700000,16.000000,0.000000,0.000000
2013-06-07T19:39:50Z,33.643263,-117.842398,10.000000,46.000000,0.000000,0.000000
2013-06-07T19:48:46Z,33.643191,-117.842463,14.200000,32.000000,0.000000,0.000000
2013-06-07T19:56:15Z,33.643302,-117.842475,-13.900000,20.000000,18.500000,1.820027
2013-06-07T19:56:46Z,33.643181,-117.842486,14.900000,8.000000,0.000000,0.000000
2013-06-08T01:47:18Z,33.643331,-117.841353,41.200001,9.000000,62.400002,2.500000
2013-06-08T01:47:31Z,33.643463,-117.841098,42.000000,12.000000,350.700012,2.250000
2013-06-08T01:47:45Z,33.643620,-117.840635,30.000000,17.000000,70.500000,3.000000
2013-06-08T01:47:59Z,33.643509,-117.840923,16.700001,20.000000,140.699997,0.750000
2013-06-08T01:48:13Z,33.643304,-117.840629,11.500000,16.000000,154.300003,3.000000
2013-06-08T01:48:28Z,33.643055,-117.840045,5.700000,29.000000,118.500000,2.500000
2013-06-08T01:48:46Z,33.642874,-117.839934,4.200000,9.000000,167.399994,0.250000
2013-06-08T01:49:10Z,33.642720,-117.838974,6.100000,11.000000,99.000000,5.000000
2013-06-08T01:49:25Z,33.642470,-117.838123,-16.000000,15.000000,107.800003,4.750000
2013-06-08T01:49:39Z,33.642428,-117.837560,-1.200000,11.000000,87.900002,4.500000
2013-06-08T01:49:53Z,33.642431,-117.836868,4.600000,14.000000,72.400002,3.750000
2013-06-08T01:50:06Z,33.642619,-117.836546,10.200000,14.000000,58.000000,1.000000
2013-06-08T01:50:18Z,33.642730,-117.836344,11.900000,7.000000,52.000000,3.750000
2013-06-08T01:50:31Z,33.643160,-117.835866,4.200000,12.000000,38.299999,5.250000
2013-06-08T01:50:45Z,33.643226,-117.835299,7.500000,5.000000,119.599998,3.750000
2013-06-08T01:51:01Z,33.642947,-117.834986,4.700000,20.000000,183.199997,2.750000
2013-06-08T01:51:21Z,33.642485,-117.834764,8.900000,8.000000,132.500000,2.500000
2013-06-08T01:51:38Z,33.642204,-117.834463,16.100000,15.000000,85.800003,2.500000
2013-06-08T01:51:55Z,33.641849,-117.834084,11.100000,10.000000,123.699997,3.250000
2013-06-08T01:52:08Z,33.641647,-117.833711,6.400000,14.000000,111.099998,3.500000
2013-06-08T01:52:35Z,33.641516,-117.833459,12.800000,42.000000,164.300003,0.500000
2013-06-08T01:53:24Z,33.641669,-117.833441,9.700000,37.000000,164.300003,0.750000
2013-06-08T01:53:53Z,33.641681,-117.833791,32.099998,14.000000,197.699997,2.750000
2013-06-08T01:54:07Z,33.641786,-117.834005,30.400000,10.000000,3.400000,3.250000
2013-06-08T01:54:20Z,33.641881,-117.833556,21.799999,6.000000,113.699997,6.000000
2013-06-08T01:54:37Z,33.642591,-117.833296,21.100000,11.000000,7.900000,4.279311
